date,sku_id,sku_name,category,region_id,region_name,units_sold,unit_price_inr,revenue_inr
2023-01-01,SKU001,Premium Detergent 1kg,Home Care,CENTRAL,Central India (Nagpur),130,225,29250
2023-01-01,SKU001,Premium Detergent 1kg,Home Care,EAST,East India (Kolkata),144,225,32400
2023-01-01,SKU001,Premium Detergent 1kg,Home Care,NORTH,North India (Delhi NCR),215,225,48375
2023-01-01,SKU001,Premium Detergent 1kg,Home Care,SOUTH,South India (Chennai),177,225,39825
2023-01-01,SKU001,Premium Detergent 1kg,Home Care,WEST,West India (Mumbai),209,225,47025
2023-01-01,SKU002,Instant Noodles 4-Pack,Packaged Food,CENTRAL,Central India (Nagpur),532,56,29792
2023-01-01,SKU002,Instant Noodles 4-Pack,Packaged Food,EAST,East India (Kolkata),565,56,31640
2023-01-01,SKU002,Instant Noodles 4-Pack,Packaged Food,NORTH,North India (Delhi NCR),968,56,54208
2023-01-01,SKU002,Instant Noodles 4-Pack,Packaged Food,SOUTH,South India (Chennai),587,56,32872
2023-01-01,SKU002,Instant Noodles 4-Pack,Packaged Food,WEST,West India (Mumbai),863,56,48328
2023-01-01,SKU003,Fresh Butter 500g,Dairy,CENTRAL,Central India (Nagpur),99,275,27225
2023-01-01,SKU003,Fresh Butter 500g,Dairy,EAST,East India (Kolkata),136,275,37400
2023-01-01,SKU003,Fresh Butter 500g,Dairy,NORTH,North India (Delhi NCR),139,275,38225
2023-01-01,SKU003,Fresh Butter 500g,Dairy,SOUTH,South India (Chennai),133,275,36575
2023-01-01,SKU003,Fresh Butter 500g,Dairy,WEST,West India (Mumbai),154,275,42350
2023-01-01,SKU004,Iodized Salt 1kg,Staples,CENTRAL,Central India (Nagpur),261,28,7308
2023-01-01,SKU004,Iodized Salt 1kg,Staples,EAST,East India (Kolkata),329,28,9212
2023-01-01,SKU004,Iodized Salt 1kg,Staples,NORTH,North India (Delhi NCR),458,28,12824
2023-01-01,SKU004,Iodized Salt 1kg,Staples,SOUTH,South India (Chennai),311,28,8708
2023-01-01,SKU004,Iodized Salt 1kg,Staples,WEST,West India (Mumbai),489,28,13692
2023-01-01,SKU005,Glucose Biscuits 800g,Packaged Food,CENTRAL,Central India (Nagpur),398,50,19900
2023-01-01,SKU005,Glucose Biscuits 800g,Packaged Food,EAST,East India (Kolkata),467,50,23350
2023-01-01,SKU005,Glucose Biscuits 800g,Packaged Food,NORTH,North India (Delhi NCR),808,50,40400
2023-01-01,SKU005,Glucose Biscuits 800g,Packaged Food,SOUTH,South India (Chennai),509,50,25450
2023-01-01,SKU005,Glucose Biscuits 800g,Packaged Food,WEST,West India (Mumbai),613,50,30650
2023-01-01,SKU006,Pure Honey 500g,Health Foods,CENTRAL,Central India (Nagpur),71,350,24850
2023-01-01,SKU006,Pure Honey 500g,Health Foods,EAST,East India (Kolkata),91,350,31850
2023-01-01,SKU006,Pure Honey 500g,Health Foods,NORTH,North India (Delhi NCR),146,350,51100
